Item,Type,Damage,Durability,Stack Size,Craftable,Enchantable,Rarity Score
Diamond Sword,Weapon,7,1561,1,Yes,Yes,9
Iron Sword,Weapon,6,250,1,Yes,Yes,6
Stone Sword,Weapon,5,131,1,Yes,Yes,4
Wooden Sword,Weapon,4,59,1,Yes,Yes,2
Golden Sword,Weapon,4,32,1,Yes,Yes,3
Diamond Pickaxe,Tool,5,1561,1,Yes,Yes,9
Iron Pickaxe,Tool,4,250,1,Yes,Yes,6
Stone Pickaxe,Tool,3,131,1,Yes,Yes,4
Wooden Pickaxe,Tool,2,59,1,Yes,Yes,2
Diamond Axe,Tool,9,1561,1,Yes,Yes,9
Iron Axe,Tool,9,250,1,Yes,Yes,6
Bow,Ranged,0,384,1,Yes,Yes,5
Arrow,Ammo,0,0,64,Yes,No,2
Bread,Food,5,0,64,Yes,No,3
Golden Apple,Food,4,0,64,No,No,8
Cooked Beef,Food,8,0,64,No,No,5
Raw Beef,Food,3,0,64,No,No,2
Carrot,Food,3,0,64,No,No,2
Cookie,Food,2,0,64,Yes,No,1
Dirt,Block,0,0,64,No,No,1
Cobblestone,Block,0,0,64,No,No,2
Obsidian,Block,0,0,64,No,No,8
TNT,Block,0,0,64,Yes,No,7
Diamond,Material,0,0,64,No,No,10
Iron Ingot,Material,0,0,64,No,No,5
Gold Ingot,Material,0,0,64,No,No,6
Redstone,Material,0,0,64,No,No,4
Leather Armour Helmet,Armour,0,55,1,Yes,Yes,3
Iron Helmet,Armour,0,165,1,Yes,Yes,6
Diamond Helmet,Armour,0,363,1,Yes,Yes,9
